epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,104.518,0.82153,0.62494,1.06686,0.61267,0.67791,0.76294,0.3813,1.9402,1.52849,2.12197,0.000326323,0.000326323,0.000326323
42,105.941,0.76548,0.65597,1.06531,0.74506,0.64286,0.75826,0.39376,1.96256,1.53574,2.1518,0.0003289,0.0003289,0.0003289
43,107.284,0.82819,0.6352,1.083,0.74506,0.64286,0.75826,0.39376,1.96256,1.53574,2.1518,0.000331212,0.000331212,0.000331212
44,108.675,0.79521,0.67071,1.04317,0.89361,0.64286,0.73664,0.38519,1.98016,1.58568,2.16774,0.000333261,0.000333261,0.000333261
45,110.012,0.8979,0.81018,1.17889,0.89361,0.64286,0.73664,0.38519,1.98016,1.58568,2.16774,0.000335045,0.000335045,0.000335045
46,111.425,0.81291,0.61336,1.03052,0.58132,0.71429,0.73973,0.40066,2.02394,1.59175,2.22127,0.000336565,0.000336565,0.000336565
47,112.792,0.82576,0.75098,1.11134,0.58132,0.71429,0.73973,0.40066,2.02394,1.59175,2.22127,0.000337821,0.000337821,0.000337821
48,114.163,0.89137,0.755,1.17688,0.83384,0.57143,0.66701,0.38575,2.02948,1.53812,2.25902,0.000338813,0.000338813,0.000338813
49,115.499,0.77738,0.66897,1.09847,0.83384,0.57143,0.66701,0.38575,2.02948,1.53812,2.25902,0.00033954,0.00033954,0.00033954
50,116.913,0.77774,0.77356,1.10356,0.70267,0.58221,0.65963,0.36721,2.11727,1.54483,2.36433,0.000340004,0.000340004,0.000340004
51,118.322,0.92263,0.74821,1.14011,0.70267,0.58221,0.65963,0.36721,2.11727,1.54483,2.36433,0.000336835,0.000336835,0.000336835
52,119.815,0.78785,0.67625,1.11483,0.75215,0.60508,0.65833,0.37055,2.13445,1.57951,2.40188,0.000330232,0.000330232,0.000330232
53,121.204,0.85803,0.84455,1.18028,0.75215,0.60508,0.65833,0.37055,2.13445,1.57951,2.40188,0.000323628,0.000323628,0.000323628
54,122.698,0.87104,0.65141,1.15643,0.71302,0.72209,0.797,0.37233,2.03625,1.51994,2.33086,0.000317025,0.000317025,0.000317025
55,124.156,0.95721,0.92101,1.25458,0.71302,0.72209,0.797,0.37233,2.03625,1.51994,2.33086,0.000310422,0.000310422,0.000310422
56,125.553,0.86862,0.68634,1.10615,0.90657,0.64286,0.79371,0.37631,2.05213,1.63857,2.31988,0.000303818,0.000303818,0.000303818
57,127.013,0.75297,0.59529,1.0332,0.90657,0.64286,0.79371,0.37631,2.05213,1.63857,2.31988,0.000297215,0.000297215,0.000297215
58,128.5,0.93578,0.71269,1.13323,0.90941,0.64286,0.79371,0.37707,2.03992,1.70955,2.28169,0.000290612,0.000290612,0.000290612
59,129.953,0.78992,0.63669,1.11195,0.90941,0.64286,0.79371,0.37707,2.03992,1.70955,2.28169,0.000284009,0.000284009,0.000284009
60,131.484,0.9391,0.81627,1.19098,0.57845,0.72516,0.72312,0.39226,2.06357,1.63795,2.30783,0.000277405,0.000277405,0.000277405
61,133.197,0.84169,0.68733,1.08147,0.57845,0.72516,0.72312,0.39226,2.06357,1.63795,2.30783,0.000270802,0.000270802,0.000270802
62,134.766,0.7631,0.66817,1.08134,0.59023,0.73704,0.72551,0.39124,2.02714,1.42954,2.29835,0.000264199,0.000264199,0.000264199
63,136.201,0.84877,0.65558,1.06744,0.59023,0.73704,0.72551,0.39124,2.02714,1.42954,2.29835,0.000257595,0.000257595,0.000257595
64,137.551,0.88989,0.67693,1.14853,0.80844,0.63325,0.66265,0.38819,2.0306,1.34737,2.30867,0.000250992,0.000250992,0.000250992
65,138.946,0.7408,0.63383,1.05335,0.80844,0.63325,0.66265,0.38819,2.0306,1.34737,2.30867,0.000244389,0.000244389,0.000244389
66,140.585,0.774,0.61761,1.08206,0.87938,0.71429,0.73824,0.40079,2.01552,1.35976,2.30207,0.000237785,0.000237785,0.000237785
67,142.071,0.65972,0.59491,1.011,0.87938,0.71429,0.73824,0.40079,2.01552,1.35976,2.30207,0.000231182,0.000231182,0.000231182
68,143.712,0.78441,0.63607,1.12311,0.86306,0.71429,0.73125,0.39939,2.04607,1.36389,2.30906,0.000224579,0.000224579,0.000224579
69,145.126,0.6394,0.59315,1.04136,0.86306,0.71429,0.73125,0.39939,2.04607,1.36389,2.30906,0.000217976,0.000217976,0.000217976
70,146.999,0.66882,0.68825,1.07387,0.84599,0.71429,0.73125,0.39584,2.08289,1.38556,2.34148,0.000211372,0.000211372,0.000211372
71,148.639,0.71307,0.58928,1.03399,0.84599,0.71429,0.73125,0.39584,2.08289,1.38556,2.34148,0.000204769,0.000204769,0.000204769
72,150.282,0.86505,0.70183,1.15101,0.83243,0.71429,0.72518,0.3925,2.13191,1.41563,2.379,0.000198166,0.000198166,0.000198166
73,151.765,0.75351,0.62993,1.11564,0.83243,0.71429,0.72518,0.3925,2.13191,1.41563,2.379,0.000191562,0.000191562,0.000191562
74,153.576,0.73486,0.62806,1.04207,0.7971,0.71429,0.72639,0.37963,2.20493,1.48651,2.42775,0.000184959,0.000184959,0.000184959
75,155.29,0.65729,0.68441,1.07559,0.7971,0.71429,0.72639,0.37963,2.20493,1.48651,2.42775,0.000178356,0.000178356,0.000178356
76,156.925,0.78621,0.66208,1.05831,0.77107,0.71429,0.72639,0.37963,2.22436,1.48143,2.43698,0.000171752,0.000171752,0.000171752
77,158.6,0.772,0.64282,1.06914,0.77107,0.71429,0.72639,0.37963,2.22436,1.48143,2.43698,0.000165149,0.000165149,0.000165149
78,160.051,0.69478,0.56189,1.09324,0.90928,0.71429,0.75214,0.39336,2.24881,1.48863,2.47151,0.000158546,0.000158546,0.000158546
79,161.541,0.71944,0.66544,1.03012,0.90928,0.71429,0.75214,0.39336,2.24881,1.48863,2.47151,0.000151943,0.000151943,0.000151943
80,163.105,0.67077,0.52801,1.0496,0.88683,0.71429,0.74157,0.38243,2.24705,1.42576,2.47983,0.000145339,0.000145339,0.000145339
81,164.954,0.80236,0.59502,1.0653,0.88683,0.71429,0.74157,0.38243,2.24705,1.42576,2.47983,0.000138736,0.000138736,0.000138736
82,166.436,0.74037,0.56988,1.08782,0.87553,0.71025,0.73446,0.37667,2.27931,1.45304,2.52281,0.000132133,0.000132133,0.000132133
83,167.737,0.71049,0.57723,1.04663,0.87553,0.71025,0.73446,0.37667,2.27931,1.45304,2.52281,0.000125529,0.000125529,0.000125529
84,168.967,0.79532,0.65632,0.99941,0.87142,0.68848,0.73568,0.37952,2.25247,1.47769,2.48244,0.000118926,0.000118926,0.000118926
85,170.15,0.69181,0.59769,1.03877,0.87142,0.68848,0.73568,0.37952,2.25247,1.47769,2.48244,0.000112323,0.000112323,0.000112323
86,171.347,0.80545,0.64896,1.10401,0.86818,0.67633,0.73568,0.38545,2.27428,1.55348,2.48883,0.00010572,0.00010572,0.00010572
87,172.534,0.75368,0.64233,1.02264,0.86818,0.67633,0.73568,0.38545,2.27428,1.55348,2.48883,9.91162e-05,9.91162e-05,9.91162e-05
88,173.769,0.71499,0.58685,1.03981,0.86952,0.67146,0.74157,0.38604,2.2566,1.60286,2.46324,9.25129e-05,9.25129e-05,9.25129e-05
89,174.962,0.66374,0.51254,1.06808,0.86952,0.67146,0.74157,0.38604,2.2566,1.60286,2.46324,8.59096e-05,8.59096e-05,8.59096e-05
90,176.213,0.69936,0.65319,1.08938,0.86999,0.66907,0.74157,0.37775,2.24751,1.61253,2.43519,7.93063e-05,7.93063e-05,7.93063e-05
91,208.232,0.63934,0.54958,1.06866,0.86999,0.66907,0.74157,0.37775,2.24751,1.61253,2.43519,7.2703e-05,7.2703e-05,7.2703e-05
92,209.542,0.6205,0.53113,1.02005,0.87174,0.66749,0.74157,0.37065,2.23826,1.63162,2.42427,6.60997e-05,6.60997e-05,6.60997e-05
93,210.782,0.5776,0.48542,0.9815,0.87174,0.66749,0.74157,0.37065,2.23826,1.63162,2.42427,5.94964e-05,5.94964e-05,5.94964e-05
94,212.052,0.67528,0.51484,1.00107,0.8758,0.66559,0.74036,0.37016,2.2438,1.65641,2.43402,5.28931e-05,5.28931e-05,5.28931e-05
95,213.296,0.67756,0.63715,1.13267,0.8758,0.66559,0.74036,0.37016,2.2438,1.65641,2.43402,4.62898e-05,4.62898e-05,4.62898e-05
96,214.557,0.7346,0.62044,1.10352,0.87824,0.66451,0.74036,0.37016,2.23782,1.65807,2.43432,3.96865e-05,3.96865e-05,3.96865e-05
97,215.797,0.70843,0.6352,1.05792,0.87824,0.66451,0.74036,0.37016,2.23782,1.65807,2.43432,3.30832e-05,3.30832e-05,3.30832e-05
98,217.106,0.55215,0.4935,0.97467,0.87633,0.66554,0.73446,0.37786,2.2365,1.62804,2.44348,2.64799e-05,2.64799e-05,2.64799e-05
99,218.419,0.61679,0.59772,0.983,0.87633,0.66554,0.73446,0.37786,2.2365,1.62804,2.44348,1.98766e-05,1.98766e-05,1.98766e-05
100,219.715,0.62822,0.54984,0.98554,0.87722,0.66578,0.73446,0.37715,2.22174,1.59633,2.43762,1.32733e-05,1.32733e-05,1.32733e-05
