epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1160.57,1.80035,1.86282,1.70222,0.60977,0.44666,0.47183,0.22081,2.10403,1.78133,2.01082,0.000396265,0.000396265,0.000396265
43,1186.22,1.78958,1.82019,1.71493,0.576,0.44478,0.48558,0.22588,2.10882,1.79153,2.00816,0.000389661,0.000389661,0.000389661
44,1218,1.80785,1.80502,1.7048,0.54985,0.46655,0.46986,0.20761,2.08989,1.82793,1.99539,0.000383058,0.000383058,0.000383058
45,1246.16,1.77416,1.76072,1.67631,0.61275,0.44714,0.48104,0.21099,2.1136,1.79433,2.01829,0.000376455,0.000376455,0.000376455
46,1274.06,1.76842,1.75338,1.68417,0.52537,0.46029,0.45474,0.20809,2.1371,1.80638,2.01756,0.000369851,0.000369851,0.000369851
47,1301.83,1.76074,1.75769,1.67625,0.56262,0.45323,0.41113,0.18978,2.15975,1.94168,2.0782,0.000363248,0.000363248,0.000363248
48,1332.45,1.73127,1.69788,1.65829,0.68197,0.42459,0.50732,0.23802,2.15472,1.7446,2.05783,0.000356645,0.000356645,0.000356645
49,1371.71,1.75179,1.69767,1.65399,0.68265,0.41548,0.49219,0.21663,2.14634,1.75068,2.03359,0.000350042,0.000350042,0.000350042
50,1399.25,1.72267,1.65112,1.64544,0.66453,0.45535,0.53793,0.23364,2.1409,1.64629,2.03747,0.000343438,0.000343438,0.000343438
51,1429.18,1.73459,1.64405,1.64754,0.62683,0.48346,0.57581,0.25377,2.10543,1.70044,2.01403,0.000336835,0.000336835,0.000336835
52,1459.8,1.71756,1.654,1.65655,0.67237,0.47968,0.53733,0.24533,2.08259,1.63185,2.00334,0.000330232,0.000330232,0.000330232
53,1489.53,1.70337,1.62064,1.6345,0.5751,0.48652,0.51264,0.22204,2.12788,1.64743,2.03466,0.000323628,0.000323628,0.000323628
54,1519.49,1.68572,1.54899,1.61934,0.61739,0.47598,0.47871,0.21633,2.08428,1.71566,1.99529,0.000317025,0.000317025,0.000317025
55,1550.45,1.69691,1.58417,1.62393,0.62853,0.5051,0.55167,0.26014,2.10407,1.60875,2.02246,0.000310422,0.000310422,0.000310422
56,1579.22,1.66404,1.52222,1.61004,0.70099,0.50058,0.58853,0.27101,2.09275,1.61325,2.03412,0.000303818,0.000303818,0.000303818
57,1610.86,1.65791,1.51476,1.61254,0.69468,0.53093,0.56403,0.24418,2.1414,1.58166,2.04876,0.000297215,0.000297215,0.000297215
58,1640.28,1.66104,1.52765,1.60027,0.6931,0.47677,0.52876,0.2415,2.09323,1.59558,2.02914,0.000290612,0.000290612,0.000290612
59,1668.54,1.62631,1.44688,1.58977,0.71351,0.48719,0.57641,0.26322,2.10406,1.5447,2.06438,0.000284009,0.000284009,0.000284009
60,1698.77,1.65663,1.45992,1.59619,0.76018,0.52914,0.593,0.25868,2.12015,1.53767,2.04818,0.000277405,0.000277405,0.000277405
61,1727.86,1.63481,1.44689,1.57024,0.68945,0.5324,0.6105,0.27076,2.08182,1.50117,2.04711,0.000270802,0.000270802,0.000270802
62,1755.45,1.63073,1.45383,1.57765,0.80361,0.51338,0.58503,0.26442,2.06352,1.51987,1.98968,0.000264199,0.000264199,0.000264199
63,1782.92,1.62803,1.41672,1.57116,0.67793,0.54703,0.56573,0.25491,2.09227,1.50708,1.99011,0.000257595,0.000257595,0.000257595
64,1810.81,1.63971,1.43655,1.5938,0.71899,0.53613,0.58564,0.25642,2.1102,1.50497,2.02736,0.000250992,0.000250992,0.000250992
65,1839.64,1.66661,1.4086,1.58103,0.68142,0.53581,0.56067,0.24383,2.1273,1.55747,2.03585,0.000244389,0.000244389,0.000244389
66,1873.44,1.58066,1.35374,1.54453,0.71455,0.56072,0.61529,0.26389,2.10931,1.46819,2.03518,0.000237785,0.000237785,0.000237785
67,1902.58,1.59377,1.35128,1.55288,0.77122,0.50816,0.59962,0.27115,2.08274,1.48992,1.98246,0.000231182,0.000231182,0.000231182
68,1935.83,1.56604,1.32252,1.52337,0.69142,0.57031,0.59559,0.26571,2.09954,1.48351,2.00883,0.000224579,0.000224579,0.000224579
69,1963.83,1.61386,1.37936,1.5428,0.78265,0.5225,0.59949,0.2669,2.06413,1.45656,1.9765,0.000217976,0.000217976,0.000217976
70,1989.86,1.55824,1.31016,1.53236,0.72269,0.56505,0.60412,0.27117,2.0978,1.43237,2.01546,0.000211372,0.000211372,0.000211372
71,2019.48,1.58381,1.30458,1.52441,0.75329,0.55875,0.61552,0.28041,2.07634,1.40783,2.00098,0.000204769,0.000204769,0.000204769
72,2050.58,1.58993,1.31582,1.54181,0.74797,0.58762,0.62738,0.28882,2.04471,1.40226,1.9928,0.000198166,0.000198166,0.000198166
73,2083.88,1.55096,1.27395,1.51289,0.71819,0.60837,0.67294,0.30958,2.03407,1.3767,1.97731,0.000191562,0.000191562,0.000191562
74,2115.93,1.55358,1.29119,1.5094,0.76842,0.58383,0.69621,0.32535,2.09502,1.37864,2.03455,0.000184959,0.000184959,0.000184959
75,2148.15,1.54306,1.27475,1.50004,0.75074,0.56762,0.66772,0.30747,2.07781,1.39097,2.00931,0.000178356,0.000178356,0.000178356
76,2181.9,1.5377,1.26601,1.50026,0.77268,0.55474,0.64835,0.28716,2.09179,1.41869,2.01551,0.000171752,0.000171752,0.000171752
77,2211.48,1.52838,1.25449,1.49603,0.74886,0.59856,0.69955,0.31331,2.0727,1.35072,2.00106,0.000165149,0.000165149,0.000165149
78,2238.25,1.54437,1.25374,1.50476,0.77885,0.58095,0.65569,0.29765,2.0827,1.38352,2.01145,0.000158546,0.000158546,0.000158546
79,2266.19,1.49629,1.22304,1.47345,0.78982,0.5418,0.63792,0.28969,2.09554,1.36255,2.01938,0.000151943,0.000151943,0.000151943
80,2299.79,1.52663,1.20314,1.49767,0.60207,0.70087,0.6917,0.33716,2.07231,1.36912,1.98911,0.000145339,0.000145339,0.000145339
81,2328.71,1.47367,1.181,1.44956,0.58599,0.73695,0.70686,0.33963,2.08745,1.36997,2.00713,0.000138736,0.000138736,0.000138736
82,2359.16,1.48613,1.17617,1.46528,0.59648,0.7425,0.71132,0.33312,2.08065,1.34275,2.00728,0.000132133,0.000132133,0.000132133
83,2387.2,1.50932,1.19497,1.48809,0.73309,0.60237,0.69901,0.33153,2.07717,1.35276,2.02457,0.000125529,0.000125529,0.000125529
84,2423.53,1.45414,1.16048,1.44327,0.6134,0.76069,0.7251,0.34053,2.06336,1.29453,2.0279,0.000118926,0.000118926,0.000118926
85,2454.17,1.4768,1.15275,1.46643,0.60171,0.74838,0.7293,0.34111,2.08457,1.3044,2.02196,0.000112323,0.000112323,0.000112323
86,2485.32,1.47299,1.15517,1.47126,0.79673,0.61605,0.71093,0.34221,2.05209,1.30343,2.00579,0.00010572,0.00010572,0.00010572
87,2519.4,1.4307,1.10704,1.42755,0.78815,0.61972,0.70321,0.33373,2.06494,1.28249,2.01294,9.91162e-05,9.91162e-05,9.91162e-05
88,2548.22,1.44373,1.10501,1.44252,0.8163,0.61353,0.68839,0.31158,2.06755,1.28314,2.02335,9.25129e-05,9.25129e-05,9.25129e-05
89,2575.81,1.43896,1.10428,1.42547,0.73651,0.70956,0.73501,0.33575,2.06659,1.26925,2.01922,8.59096e-05,8.59096e-05,8.59096e-05
90,2603.08,1.46915,1.12111,1.45051,0.66151,0.75345,0.74041,0.33552,2.0614,1.24981,2.01948,7.93063e-05,7.93063e-05,7.93063e-05
91,2647.85,1.47533,1.05703,1.51422,0.63438,0.69004,0.70519,0.32507,2.0773,1.2806,2.03662,7.2703e-05,7.2703e-05,7.2703e-05
92,2676.35,1.44829,0.99551,1.50964,0.7555,0.67072,0.72392,0.33908,2.05439,1.26423,2.0169,6.60997e-05,6.60997e-05,6.60997e-05
93,2705.31,1.4222,0.98616,1.49225,0.74686,0.68091,0.71648,0.33377,2.05563,1.27416,2.02383,5.94964e-05,5.94964e-05,5.94964e-05
94,2733.4,1.40413,0.9775,1.4715,0.72933,0.70648,0.74468,0.34124,2.05914,1.26637,2.02043,5.28931e-05,5.28931e-05,5.28931e-05
95,2761.01,1.40799,0.97146,1.46391,0.76297,0.71709,0.74701,0.3511,2.05912,1.26396,2.03247,4.62898e-05,4.62898e-05,4.62898e-05
96,2788.72,1.38498,0.94214,1.45586,0.76611,0.71551,0.74496,0.34682,2.05974,1.26268,2.03356,3.96865e-05,3.96865e-05,3.96865e-05
97,2815.45,1.41093,0.9429,1.47198,0.80748,0.71272,0.74573,0.34091,2.06766,1.27344,2.04194,3.30832e-05,3.30832e-05,3.30832e-05
98,2842.17,1.37907,0.9351,1.45962,0.7895,0.72506,0.74765,0.3486,2.05965,1.25872,2.03521,2.64799e-05,2.64799e-05,2.64799e-05
99,2867.95,1.37541,0.90973,1.45096,0.74147,0.73442,0.74768,0.34575,2.06301,1.25104,2.02939,1.98766e-05,1.98766e-05,1.98766e-05
100,2893.44,1.36164,0.92048,1.4397,0.75413,0.73415,0.74797,0.3453,2.06308,1.24561,2.03524,1.32733e-05,1.32733e-05,1.32733e-05
