epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,38.3839,0.9278,0.69512,1.10734,0.90442,0.61949,0.81714,0.41859,2.13102,1.37101,2.22232,0.000326323,0.000326323,0.000326323
42,39.156,0.89825,0.7058,1.11437,0.91434,0.61145,0.81714,0.4463,2.07686,1.40229,2.18408,0.0003289,0.0003289,0.0003289
43,39.8861,0.80677,0.62841,1.04891,0.91434,0.61145,0.81714,0.4463,2.07686,1.40229,2.18408,0.000331212,0.000331212,0.000331212
44,40.6252,0.88351,0.68753,1.06225,0.91866,0.61555,0.81,0.4535,2.06943,1.40434,2.1852,0.000333261,0.000333261,0.000333261
45,41.3933,1.05428,0.8509,1.22275,0.91866,0.61555,0.81,0.4535,2.06943,1.40434,2.1852,0.000335045,0.000335045,0.000335045
46,42.1756,0.75851,0.63431,1.01531,0.92385,0.61978,0.81,0.4432,2.06131,1.42356,2.19617,0.000336565,0.000336565,0.000336565
47,42.9515,0.87421,0.71534,1.15317,0.92385,0.61978,0.81,0.4432,2.06131,1.42356,2.19617,0.000337821,0.000337821,0.000337821
48,43.6919,0.90865,0.80937,1.16126,0.92035,0.61706,0.82905,0.45951,2.08012,1.41769,2.21776,0.000338813,0.000338813,0.000338813
49,44.4335,0.826,0.65565,1.08822,0.92035,0.61706,0.82905,0.45951,2.08012,1.41769,2.21776,0.00033954,0.00033954,0.00033954
50,45.1938,0.81779,0.75693,1.10216,0.64061,0.78571,0.82905,0.42986,2.09967,1.44191,2.22595,0.000340004,0.000340004,0.000340004
51,45.9402,1.01968,0.76861,1.16412,0.64061,0.78571,0.82905,0.42986,2.09967,1.44191,2.22595,0.000336835,0.000336835,0.000336835
52,46.695,0.8817,0.757,1.16606,0.87441,0.60851,0.72244,0.41576,2.09006,1.45382,2.22284,0.000330232,0.000330232,0.000330232
53,47.4433,0.84715,0.74948,1.16303,0.87441,0.60851,0.72244,0.41576,2.09006,1.45382,2.22284,0.000323628,0.000323628,0.000323628
54,48.2117,0.86649,0.70355,1.16307,0.86933,0.60236,0.72244,0.3946,2.12587,1.48716,2.25058,0.000317025,0.000317025,0.000317025
55,48.9736,0.88193,0.77202,1.19077,0.86933,0.60236,0.72244,0.3946,2.12587,1.48716,2.25058,0.000310422,0.000310422,0.000310422
56,49.7085,0.88851,0.65803,1.10902,0.86093,0.60722,0.71533,0.37232,2.15658,1.53494,2.2742,0.000303818,0.000303818,0.000303818
57,50.4378,0.71631,0.58415,1.00541,0.86093,0.60722,0.71533,0.37232,2.15658,1.53494,2.2742,0.000297215,0.000297215,0.000297215
58,51.1774,0.96665,0.78456,1.14654,0.8484,0.61706,0.71533,0.36255,2.17521,1.54446,2.28602,0.000290612,0.000290612,0.000290612
59,51.9002,0.77885,0.65392,1.09686,0.8484,0.61706,0.71533,0.36255,2.17521,1.54446,2.28602,0.000284009,0.000284009,0.000284009
60,52.6418,0.81253,0.73484,1.08494,0.82335,0.63828,0.72244,0.36105,2.17234,1.61085,2.3004,0.000277405,0.000277405,0.000277405
61,53.3707,0.79728,0.6935,1.05997,0.82335,0.63828,0.72244,0.36105,2.17234,1.61085,2.3004,0.000270802,0.000270802,0.000270802
62,54.1298,0.71561,0.62762,1.02587,0.81322,0.64286,0.72244,0.36335,2.17781,1.70135,2.30034,0.000264199,0.000264199,0.000264199
63,54.8391,0.81185,0.68889,1.04003,0.81322,0.64286,0.72244,0.36335,2.17781,1.70135,2.30034,0.000257595,0.000257595,0.000257595
64,55.579,0.8174,0.6815,1.09635,0.81207,0.63704,0.71054,0.36749,2.13312,1.69726,2.2783,0.000250992,0.000250992,0.000250992
65,56.3206,0.83419,0.64149,1.07786,0.81207,0.63704,0.71054,0.36749,2.13312,1.69726,2.2783,0.000244389,0.000244389,0.000244389
66,57.0555,0.84045,0.61661,1.13647,0.8038,0.61844,0.72244,0.36669,2.03555,1.76357,2.16965,0.000237785,0.000237785,0.000237785
67,57.8019,0.76376,0.62284,1.03204,0.8038,0.61844,0.72244,0.36669,2.03555,1.76357,2.16965,0.000231182,0.000231182,0.000231182
68,58.5494,0.71498,0.64309,1.07601,0.78937,0.61421,0.72244,0.37678,1.99527,1.83113,2.14601,0.000224579,0.000224579,0.000224579
69,59.3012,0.76552,0.63707,1.0661,0.78937,0.61421,0.72244,0.37678,1.99527,1.83113,2.14601,0.000217976,0.000217976,0.000217976
70,60.0327,0.81337,0.67746,1.16651,0.79005,0.61543,0.6869,0.36197,1.97722,1.76601,2.14763,0.000211372,0.000211372,0.000211372
71,60.7556,0.72311,0.56004,1.03055,0.79005,0.61543,0.6869,0.36197,1.97722,1.76601,2.14763,0.000204769,0.000204769,0.000204769
