epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,812.982,1.71851,1.6662,1.62352,0.67929,0.48334,0.51177,0.23138,2.06607,1.70161,1.96124,0.000396265,0.000396265,0.000396265
43,829.005,1.7148,1.6825,1.61513,0.67764,0.48366,0.52056,0.23415,2.12906,1.77701,1.98709,0.000389661,0.000389661,0.000389661
44,845.078,1.71102,1.65007,1.60548,0.60602,0.50159,0.56178,0.2747,2.08734,1.72101,1.97363,0.000383058,0.000383058,0.000383058
45,861.247,1.6984,1.62244,1.61291,0.65802,0.54627,0.57314,0.2694,2.07197,1.63293,1.99753,0.000376455,0.000376455,0.000376455
46,877.552,1.67392,1.60277,1.60191,0.72495,0.50087,0.56132,0.25164,2.09867,1.65651,2.00185,0.000369851,0.000369851,0.000369851
47,893.864,1.69287,1.62299,1.58639,0.68214,0.50397,0.53522,0.25318,2.09418,1.64829,2.00228,0.000363248,0.000363248,0.000363248
48,910.64,1.68013,1.60149,1.59219,0.68555,0.53479,0.54772,0.24207,2.111,1.67723,2.02235,0.000356645,0.000356645,0.000356645
49,927.958,1.68362,1.58951,1.58588,0.75012,0.51482,0.58686,0.25635,2.05692,1.62272,1.96693,0.000350042,0.000350042,0.000350042
50,944.302,1.64111,1.53557,1.57377,0.72338,0.50109,0.57072,0.26375,2.06906,1.57635,2.00501,0.000343438,0.000343438,0.000343438
51,960.626,1.64504,1.50836,1.57049,0.75937,0.55255,0.60131,0.27078,2.05058,1.57676,1.98586,0.000336835,0.000336835,0.000336835
52,976.38,1.63594,1.53113,1.5717,0.6668,0.53219,0.5603,0.24909,2.10633,1.6195,2.02495,0.000330232,0.000330232,0.000330232
53,992.082,1.64892,1.54173,1.56793,0.69519,0.53569,0.63484,0.2866,2.10133,1.58604,2.01815,0.000323628,0.000323628,0.000323628
54,1007.81,1.60014,1.41845,1.52952,0.73916,0.50102,0.57482,0.26277,2.06325,1.62384,1.98216,0.000317025,0.000317025,0.000317025
55,1023.54,1.62363,1.48304,1.54035,0.72732,0.51187,0.63329,0.28425,2.04807,1.50822,1.95677,0.000310422,0.000310422,0.000310422
56,1039.1,1.58545,1.44791,1.52458,0.69289,0.56732,0.60489,0.27921,2.042,1.49548,1.969,0.000303818,0.000303818,0.000303818
57,1054.96,1.57833,1.41354,1.52083,0.7158,0.57271,0.62381,0.28632,2.04978,1.48331,1.9854,0.000297215,0.000297215,0.000297215
58,1070.66,1.61763,1.45495,1.5497,0.71105,0.52496,0.62811,0.2983,2.06144,1.55508,2.00538,0.000290612,0.000290612,0.000290612
59,1086.47,1.57517,1.36978,1.51834,0.6766,0.56092,0.61702,0.2993,2.06232,1.48996,1.97588,0.000284009,0.000284009,0.000284009
60,1102.02,1.58168,1.41349,1.51728,0.66904,0.57932,0.63252,0.2841,2.05052,1.5481,1.9948,0.000277405,0.000277405,0.000277405
61,1117.89,1.5884,1.38071,1.50007,0.74123,0.59112,0.66088,0.30594,2.05493,1.45642,1.97801,0.000270802,0.000270802,0.000270802
62,1134.26,1.59284,1.38502,1.52222,0.74001,0.58303,0.65794,0.29749,2.07201,1.47299,2.0076,0.000264199,0.000264199,0.000264199
63,1150.62,1.56869,1.33744,1.50442,0.70462,0.58853,0.59739,0.27204,2.06743,1.45921,1.98456,0.000257595,0.000257595,0.000257595
64,1166.96,1.56799,1.36677,1.51831,0.68819,0.5667,0.64648,0.30897,2.07218,1.45364,1.98921,0.000250992,0.000250992,0.000250992
65,1182.78,1.5982,1.33148,1.51728,0.69607,0.5849,0.65392,0.30006,2.05881,1.43176,1.99467,0.000244389,0.000244389,0.000244389
66,1198.55,1.5269,1.28558,1.49057,0.7597,0.58823,0.67879,0.319,2.06263,1.43668,1.99455,0.000237785,0.000237785,0.000237785
67,1214.54,1.53025,1.31432,1.4847,0.72443,0.57165,0.66433,0.31013,2.076,1.42667,1.97289,0.000231182,0.000231182,0.000231182
68,1230.16,1.51229,1.2771,1.47156,0.68081,0.61108,0.67836,0.32025,2.07288,1.40129,1.99672,0.000224579,0.000224579,0.000224579
69,1245.75,1.55562,1.30787,1.47078,0.76899,0.56579,0.65476,0.31079,2.06219,1.41188,1.97507,0.000217976,0.000217976,0.000217976
70,1261.47,1.49308,1.25842,1.45708,0.80729,0.53112,0.68423,0.31831,2.08984,1.3984,1.98801,0.000211372,0.000211372,0.000211372
71,1277.64,1.52894,1.27155,1.47091,0.70323,0.60826,0.67086,0.30965,2.09394,1.42958,2.00199,0.000204769,0.000204769,0.000204769
72,1293.22,1.52884,1.25132,1.46909,0.75978,0.5772,0.68414,0.30921,2.08498,1.37159,2.00274,0.000198166,0.000198166,0.000198166
73,1308.9,1.51172,1.2264,1.45607,0.59803,0.68452,0.67238,0.31162,2.06255,1.36406,1.96639,0.000191562,0.000191562,0.000191562
74,1324.65,1.51038,1.23636,1.44853,0.77241,0.58885,0.69013,0.32607,2.04884,1.35522,1.97268,0.000184959,0.000184959,0.000184959
75,1340.71,1.49755,1.24903,1.4447,0.72788,0.58568,0.67885,0.31949,2.07285,1.36335,1.96856,0.000178356,0.000178356,0.000178356
76,1356.39,1.501,1.22226,1.45197,0.75888,0.61152,0.68854,0.32167,2.05187,1.3483,1.97593,0.000171752,0.000171752,0.000171752
77,1372.14,1.4664,1.22977,1.44196,0.76004,0.63647,0.69163,0.32102,2.06413,1.36351,1.97891,0.000165149,0.000165149,0.000165149
78,1388.32,1.52306,1.20744,1.45804,0.77887,0.57805,0.67479,0.30166,2.0864,1.33009,1.98603,0.000158546,0.000158546,0.000158546
79,1404.54,1.45246,1.1769,1.42325,0.7606,0.61805,0.69827,0.33256,2.10157,1.3337,2.00734,0.000151943,0.000151943,0.000151943
80,1420.25,1.4526,1.18524,1.421,0.74509,0.61718,0.69122,0.32553,2.09821,1.32047,2.00072,0.000145339,0.000145339,0.000145339
81,1436.57,1.4389,1.15175,1.39703,0.61448,0.72823,0.69999,0.32953,2.11262,1.31237,2.04282,0.000138736,0.000138736,0.000138736
82,1452.95,1.45026,1.14954,1.41919,0.61942,0.71368,0.7056,0.32546,2.10597,1.31435,2.03046,0.000132133,0.000132133,0.000132133
83,1469.73,1.46587,1.18441,1.43178,0.644,0.72911,0.71587,0.33917,2.08323,1.29297,2.00528,0.000125529,0.000125529,0.000125529
84,1486.29,1.42862,1.12049,1.40444,0.79692,0.64076,0.70438,0.33666,2.06412,1.28532,2.00325,0.000118926,0.000118926,0.000118926
85,1502.64,1.4279,1.13487,1.4094,0.77762,0.63835,0.70311,0.32828,2.06855,1.2867,1.99782,0.000112323,0.000112323,0.000112323
86,1519.16,1.422,1.13705,1.41092,0.78077,0.63154,0.69486,0.32764,2.06168,1.29067,1.98861,0.00010572,0.00010572,0.00010572
87,1536.88,1.40735,1.07418,1.38395,0.72096,0.70165,0.70524,0.3347,2.07079,1.29687,1.99574,9.91162e-05,9.91162e-05,9.91162e-05
88,1553.61,1.40437,1.09169,1.38484,0.69046,0.69956,0.71564,0.33827,2.06981,1.29513,1.99878,9.25129e-05,9.25129e-05,9.25129e-05
89,1569.25,1.39148,1.07698,1.36837,0.75827,0.68042,0.71084,0.33096,2.06644,1.26968,2.01551,8.59096e-05,8.59096e-05,8.59096e-05
